time,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum
2026-04-22,1,85.3,58.5,0.0
2026-04-23,3,80.1,54.0,0.0
2026-04-24,3,83.2,52.9,0.0
2026-04-25,3,80.0,56.4,0.0
2026-04-26,2,74.2,51.7,0.0
2026-04-27,3,80.6,49.0,0.0
2026-04-28,3,71.7,56.8,0.0
