time,temperature_2m_max,temperature_2m_min,precipitation_sum
2026-04-22,85.0,58.5,0.0
2026-04-23,80.1,53.6,0.0
2026-04-24,83.2,52.9,0.0
2026-04-25,80.0,56.4,0.0
2026-04-26,74.2,51.7,0.0
2026-04-27,80.6,49.0,0.0
2026-04-28,71.7,56.8,0.0
