time,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum
2026-04-26,3,75.0,57.4,0.0
2026-04-27,3,80.5,48.7,0.0
2026-04-28,3,78.6,50.7,0.0
2026-04-29,3,82.5,57.3,0.0
2026-04-30,80,71.7,56.8,3.4
2026-05-01,81,68.1,55.0,10.3
2026-05-02,3,76.7,57.8,0.0
