time,temperature_2m,precipitation_probability
2026-04-22T00:00,68.9,0
2026-04-22T01:00,67.1,0
2026-04-22T02:00,66.6,0
2026-04-22T03:00,62.6,0
2026-04-22T04:00,60.7,0
2026-04-22T05:00,59.1,0
2026-04-22T06:00,58.5,0
2026-04-22T07:00,62.8,0
2026-04-22T08:00,68.5,0
2026-04-22T09:00,73.4,0
2026-04-22T10:00,76.1,0
2026-04-22T11:00,78.8,0
2026-04-22T12:00,81.3,0
2026-04-22T13:00,84.1,0
2026-04-22T14:00,85.0,0
2026-04-22T15:00,84.7,0
2026-04-22T16:00,84.1,0
2026-04-22T17:00,82.4,0
2026-04-22T18:00,80.3,0
2026-04-22T19:00,74.9,0
2026-04-22T20:00,70.1,0
2026-04-22T21:00,67.2,0
2026-04-22T22:00,65.5,0
2026-04-22T23:00,64.0,0
2026-04-23T00:00,61.6,0
2026-04-23T01:00,59.4,0
2026-04-23T02:00,57.7,0
2026-04-23T03:00,56.3,0
2026-04-23T04:00,54.7,0
2026-04-23T05:00,54.4,0
2026-04-23T06:00,53.6,0
2026-04-23T07:00,58.2,0
2026-04-23T08:00,63.5,0
2026-04-23T09:00,67.4,0
2026-04-23T10:00,70.5,0
2026-04-23T11:00,72.5,0
2026-04-23T12:00,75.2,0
2026-04-23T13:00,77.9,0
2026-04-23T14:00,79.9,1
2026-04-23T15:00,80.1,1
2026-04-23T16:00,79.7,1
2026-04-23T17:00,77.9,1
2026-04-23T18:00,75.9,1
2026-04-23T19:00,71.7,1
2026-04-23T20:00,68.4,1
2026-04-23T21:00,65.1,1
2026-04-23T22:00,62.8,0
2026-04-23T23:00,61.0,0
2026-04-24T00:00,60.0,0
2026-04-24T01:00,58.6,0
2026-04-24T02:00,57.1,0
2026-04-24T03:00,56.4,0
2026-04-24T04:00,55.1,0
2026-04-24T05:00,53.9,0
2026-04-24T06:00,52.9,0
2026-04-24T07:00,59.5,0
2026-04-24T08:00,66.6,0
2026-04-24T09:00,70.5,0
2026-04-24T10:00,73.5,0
2026-04-24T11:00,76.4,0
2026-04-24T12:00,79.1,0
2026-04-24T13:00,81.6,0
2026-04-24T14:00,82.9,0
2026-04-24T15:00,83.2,0
2026-04-24T16:00,82.9,0
2026-04-24T17:00,82.0,0
2026-04-24T18:00,79.6,0
2026-04-24T19:00,73.2,0
2026-04-24T20:00,69.0,0
2026-04-24T21:00,65.4,0
2026-04-24T22:00,63.6,0
2026-04-24T23:00,62.7,0
2026-04-25T00:00,62.4,0
2026-04-25T01:00,60.4,0
2026-04-25T02:00,58.6,0
2026-04-25T03:00,57.7,0
2026-04-25T04:00,56.4,0
2026-04-25T05:00,57.1,0
2026-04-25T06:00,58.6,0
2026-04-25T07:00,64.3,0
2026-04-25T08:00,68.1,0
2026-04-25T09:00,71.7,0
2026-04-25T10:00,75.5,0
2026-04-25T11:00,77.8,0
2026-04-25T12:00,78.7,0
2026-04-25T13:00,80.0,0
2026-04-25T14:00,79.8,0
2026-04-25T15:00,79.1,0
2026-04-25T16:00,77.7,0
2026-04-25T17:00,74.8,0
2026-04-25T18:00,73.0,1
2026-04-25T19:00,69.6,1
2026-04-25T20:00,66.3,1
2026-04-25T21:00,64.0,1
2026-04-25T22:00,63.8,1
2026-04-25T23:00,58.0,1
2026-04-26T00:00,56.8,3
2026-04-26T01:00,55.7,3
2026-04-26T02:00,54.3,3
2026-04-26T03:00,53.0,3
2026-04-26T04:00,52.1,3
2026-04-26T05:00,52.1,3
2026-04-26T06:00,51.7,1
2026-04-26T07:00,55.3,1
2026-04-26T08:00,58.4,1
2026-04-26T09:00,60.9,1
2026-04-26T10:00,63.8,1
2026-04-26T11:00,67.2,1
2026-04-26T12:00,70.5,1
2026-04-26T13:00,72.4,1
2026-04-26T14:00,73.7,1
2026-04-26T15:00,74.2,1
2026-04-26T16:00,73.7,1
2026-04-26T17:00,72.6,1
2026-04-26T18:00,70.6,0
2026-04-26T19:00,66.0,0
2026-04-26T20:00,62.7,0
2026-04-26T21:00,60.0,0
2026-04-26T22:00,57.1,0
2026-04-26T23:00,54.4,0
2026-04-27T00:00,52.6,0
2026-04-27T01:00,51.4,0
2026-04-27T02:00,50.7,0
2026-04-27T03:00,50.1,0
2026-04-27T04:00,49.9,0
2026-04-27T05:00,49.0,0
2026-04-27T06:00,52.2,0
2026-04-27T07:00,56.9,0
2026-04-27T08:00,61.3,0
2026-04-27T09:00,64.9,0
2026-04-27T10:00,68.3,0
2026-04-27T11:00,71.5,0
2026-04-27T12:00,74.8,0
2026-04-27T13:00,77.8,0
2026-04-27T14:00,79.8,0
2026-04-27T15:00,80.6,0
2026-04-27T16:00,80.4,0
2026-04-27T17:00,78.7,0
2026-04-27T18:00,75.1,0
2026-04-27T19:00,70.0,0
2026-04-27T20:00,65.8,0
2026-04-27T21:00,63.2,0
2026-04-27T22:00,61.3,0
2026-04-27T23:00,59.8,0
2026-04-28T00:00,58.9,0
2026-04-28T01:00,58.4,0
2026-04-28T02:00,58.0,0
2026-04-28T03:00,57.3,0
2026-04-28T04:00,56.8,0
2026-04-28T05:00,57.3,0
2026-04-28T06:00,59.9,0
2026-04-28T07:00,63.8,0
2026-04-28T08:00,67.0,0
2026-04-28T09:00,69.5,0
2026-04-28T10:00,71.4,0
2026-04-28T11:00,71.7,0
2026-04-28T12:00,69.5,8
2026-04-28T13:00,65.7,8
2026-04-28T14:00,62.9,8
2026-04-28T15:00,62.5,8
2026-04-28T16:00,63.1,8
2026-04-28T17:00,63.1,8
2026-04-28T18:00,61.6,13
2026-04-28T19:00,59.7,13
2026-04-28T20:00,58.2,13
2026-04-28T21:00,58.0,13
2026-04-28T22:00,58.1,13
2026-04-28T23:00,58.2,13
