time,temperature_2m,precipitation_probability
2026-04-22T00:00,76.6,0
2026-04-22T01:00,73.8,0
2026-04-22T02:00,72.5,0
2026-04-22T03:00,71.6,0
2026-04-22T04:00,70.5,0
2026-04-22T05:00,69.0,0
2026-04-22T06:00,68.5,0
2026-04-22T07:00,69.5,0
2026-04-22T08:00,73.3,0
2026-04-22T09:00,77.9,0
2026-04-22T10:00,79.6,0
2026-04-22T11:00,82.0,0
2026-04-22T12:00,84.4,0
2026-04-22T13:00,85.6,0
2026-04-22T14:00,86.7,0
2026-04-22T15:00,86.3,0
2026-04-22T16:00,85.9,0
2026-04-22T17:00,85.0,0
2026-04-22T18:00,83.9,0
2026-04-22T19:00,79.9,0
2026-04-22T20:00,75.1,0
2026-04-22T21:00,73.0,0
2026-04-22T22:00,72.3,0
2026-04-22T23:00,69.8,0
2026-04-23T00:00,66.8,0
2026-04-23T01:00,64.9,0
2026-04-23T02:00,63.6,0
2026-04-23T03:00,61.3,0
2026-04-23T04:00,60.9,0
2026-04-23T05:00,59.0,0
2026-04-23T06:00,58.0,0
2026-04-23T07:00,60.7,0
2026-04-23T08:00,66.5,0
2026-04-23T09:00,71.7,0
2026-04-23T10:00,74.9,0
2026-04-23T11:00,79.1,0
2026-04-23T12:00,82.2,0
2026-04-23T13:00,83.5,0
2026-04-23T14:00,84.6,0
2026-04-23T15:00,85.5,0
2026-04-23T16:00,85.5,0
2026-04-23T17:00,84.8,0
2026-04-23T18:00,83.6,0
2026-04-23T19:00,80.0,0
2026-04-23T20:00,76.3,0
2026-04-23T21:00,73.6,0
2026-04-23T22:00,71.7,0
2026-04-23T23:00,68.6,0
2026-04-24T00:00,67.0,0
2026-04-24T01:00,65.6,0
2026-04-24T02:00,63.5,0
2026-04-24T03:00,62.1,0
2026-04-24T04:00,59.5,0
2026-04-24T05:00,58.1,0
2026-04-24T06:00,56.8,0
2026-04-24T07:00,61.2,0
2026-04-24T08:00,67.5,0
2026-04-24T09:00,74.3,0
2026-04-24T10:00,78.0,0
2026-04-24T11:00,80.2,0
2026-04-24T12:00,81.6,0
2026-04-24T13:00,83.9,0
2026-04-24T14:00,86.1,0
2026-04-24T15:00,88.1,0
2026-04-24T16:00,88.8,0
2026-04-24T17:00,88.8,0
2026-04-24T18:00,87.7,0
2026-04-24T19:00,86.5,0
2026-04-24T20:00,84.8,0
2026-04-24T21:00,82.9,0
2026-04-24T22:00,80.2,0
2026-04-24T23:00,78.0,0
2026-04-25T00:00,77.3,0
2026-04-25T01:00,76.4,0
2026-04-25T02:00,75.7,0
2026-04-25T03:00,75.3,0
2026-04-25T04:00,75.1,0
2026-04-25T05:00,74.8,0
2026-04-25T06:00,74.0,0
2026-04-25T07:00,73.7,0
2026-04-25T08:00,73.9,0
2026-04-25T09:00,74.9,0
2026-04-25T10:00,76.2,0
2026-04-25T11:00,77.6,0
2026-04-25T12:00,79.3,0
2026-04-25T13:00,80.5,0
2026-04-25T14:00,81.2,0
2026-04-25T15:00,82.0,0
2026-04-25T16:00,82.0,0
2026-04-25T17:00,82.3,0
2026-04-25T18:00,81.6,7
2026-04-25T19:00,80.3,7
2026-04-25T20:00,79.3,7
2026-04-25T21:00,77.1,7
2026-04-25T22:00,74.6,7
2026-04-25T23:00,70.1,7
2026-04-26T00:00,67.4,9
2026-04-26T01:00,65.4,9
2026-04-26T02:00,65.4,9
2026-04-26T03:00,64.1,9
2026-04-26T04:00,62.9,9
2026-04-26T05:00,62.3,9
2026-04-26T06:00,61.4,1
2026-04-26T07:00,61.4,1
2026-04-26T08:00,62.2,1
2026-04-26T09:00,63.6,1
2026-04-26T10:00,65.6,1
2026-04-26T11:00,67.9,1
2026-04-26T12:00,70.6,0
2026-04-26T13:00,72.8,0
2026-04-26T14:00,75.7,0
2026-04-26T15:00,76.7,0
2026-04-26T16:00,77.1,0
2026-04-26T17:00,77.1,0
2026-04-26T18:00,76.7,0
2026-04-26T19:00,75.8,0
2026-04-26T20:00,74.6,0
2026-04-26T21:00,73.5,0
2026-04-26T22:00,72.1,0
2026-04-26T23:00,71.0,0
2026-04-27T00:00,68.8,0
2026-04-27T01:00,67.6,0
2026-04-27T02:00,66.5,0
2026-04-27T03:00,65.2,0
2026-04-27T04:00,64.5,0
2026-04-27T05:00,64.3,0
2026-04-27T06:00,64.5,0
2026-04-27T07:00,65.2,0
2026-04-27T08:00,66.3,0
2026-04-27T09:00,68.0,0
2026-04-27T10:00,70.2,0
2026-04-27T11:00,72.2,0
2026-04-27T12:00,74.2,0
2026-04-27T13:00,76.1,0
2026-04-27T14:00,77.8,0
2026-04-27T15:00,79.4,0
2026-04-27T16:00,80.8,0
2026-04-27T17:00,81.6,0
2026-04-27T18:00,81.5,0
2026-04-27T19:00,80.9,0
2026-04-27T20:00,80.0,0
2026-04-27T21:00,78.9,0
2026-04-27T22:00,77.7,0
2026-04-27T23:00,76.6,0
2026-04-28T00:00,75.7,0
2026-04-28T01:00,74.9,0
2026-04-28T02:00,74.2,0
2026-04-28T03:00,73.4,0
2026-04-28T04:00,72.7,0
2026-04-28T05:00,72.2,0
2026-04-28T06:00,72.2,0
2026-04-28T07:00,72.4,0
2026-04-28T08:00,73.0,0
2026-04-28T09:00,74.0,0
2026-04-28T10:00,75.3,0
2026-04-28T11:00,76.6,0
2026-04-28T12:00,77.8,1
2026-04-28T13:00,79.0,1
2026-04-28T14:00,79.4,1
2026-04-28T15:00,78.5,1
2026-04-28T16:00,76.9,1
2026-04-28T17:00,75.5,1
2026-04-28T18:00,74.7,3
2026-04-28T19:00,74.1,3
2026-04-28T20:00,73.5,3
2026-04-28T21:00,72.9,3
2026-04-28T22:00,72.2,3
2026-04-28T23:00,71.5,3
