time,temperature_2m,precipitation_probability
2026-04-22T00:00,72.9,0
2026-04-22T01:00,69.6,0
2026-04-22T02:00,68.0,0
2026-04-22T03:00,64.9,0
2026-04-22T04:00,62.0,0
2026-04-22T05:00,59.8,0
2026-04-22T06:00,58.6,0
2026-04-22T07:00,63.2,0
2026-04-22T08:00,71.2,0
2026-04-22T09:00,77.5,0
2026-04-22T10:00,81.1,0
2026-04-22T11:00,82.9,0
2026-04-22T12:00,85.0,0
2026-04-22T13:00,87.3,0
2026-04-22T14:00,88.4,0
2026-04-22T15:00,88.2,0
2026-04-22T16:00,87.2,0
2026-04-22T17:00,85.2,0
2026-04-22T18:00,83.0,0
2026-04-22T19:00,78.3,0
2026-04-22T20:00,74.9,0
2026-04-22T21:00,72.3,0
2026-04-22T22:00,69.4,0
2026-04-22T23:00,66.2,0
2026-04-23T00:00,64.1,0
2026-04-23T01:00,61.7,0
2026-04-23T02:00,59.2,0
2026-04-23T03:00,57.5,0
2026-04-23T04:00,55.7,0
2026-04-23T05:00,54.5,0
2026-04-23T06:00,53.8,0
2026-04-23T07:00,58.5,0
2026-04-23T08:00,66.0,0
2026-04-23T09:00,70.7,0
2026-04-23T10:00,73.6,0
2026-04-23T11:00,76.0,0
2026-04-23T12:00,79.5,0
2026-04-23T13:00,81.2,0
2026-04-23T14:00,82.9,1
2026-04-23T15:00,83.5,1
2026-04-23T16:00,82.5,1
2026-04-23T17:00,80.7,1
2026-04-23T18:00,79.5,1
2026-04-23T19:00,74.9,1
2026-04-23T20:00,70.5,0
2026-04-23T21:00,68.4,0
2026-04-23T22:00,67.0,0
2026-04-23T23:00,64.9,0
2026-04-24T00:00,63.2,0
2026-04-24T01:00,60.1,0
2026-04-24T02:00,57.7,0
2026-04-24T03:00,55.6,0
2026-04-24T04:00,54.2,0
2026-04-24T05:00,53.5,0
2026-04-24T06:00,52.6,0
2026-04-24T07:00,58.2,0
2026-04-24T08:00,68.0,0
2026-04-24T09:00,73.2,0
2026-04-24T10:00,75.3,0
2026-04-24T11:00,76.5,0
2026-04-24T12:00,77.3,0
2026-04-24T13:00,79.8,0
2026-04-24T14:00,83.0,0
2026-04-24T15:00,85.7,0
2026-04-24T16:00,85.7,0
2026-04-24T17:00,85.2,0
2026-04-24T18:00,84.3,0
2026-04-24T19:00,82.7,0
2026-04-24T20:00,80.2,0
2026-04-24T21:00,77.5,0
2026-04-24T22:00,75.5,0
2026-04-24T23:00,74.6,0
2026-04-25T00:00,74.4,0
2026-04-25T01:00,72.8,0
2026-04-25T02:00,71.0,0
2026-04-25T03:00,70.4,0
2026-04-25T04:00,69.7,0
2026-04-25T05:00,69.2,0
2026-04-25T06:00,69.0,0
2026-04-25T07:00,69.5,0
2026-04-25T08:00,71.0,0
2026-04-25T09:00,73.1,0
2026-04-25T10:00,76.7,0
2026-04-25T11:00,79.1,0
2026-04-25T12:00,80.5,0
2026-04-25T13:00,82.0,0
2026-04-25T14:00,82.0,0
2026-04-25T15:00,82.3,0
2026-04-25T16:00,81.4,0
2026-04-25T17:00,80.0,0
2026-04-25T18:00,77.8,0
2026-04-25T19:00,76.0,0
2026-04-25T20:00,74.6,0
2026-04-25T21:00,73.1,0
2026-04-25T22:00,71.9,0
2026-04-25T23:00,70.4,0
2026-04-26T00:00,68.6,3
2026-04-26T01:00,67.4,3
2026-04-26T02:00,65.8,3
2026-04-26T03:00,64.5,3
2026-04-26T04:00,63.2,3
2026-04-26T05:00,61.4,3
2026-04-26T06:00,59.5,3
2026-04-26T07:00,58.2,3
2026-04-26T08:00,58.7,3
2026-04-26T09:00,60.0,3
2026-04-26T10:00,62.5,3
2026-04-26T11:00,65.2,3
2026-04-26T12:00,68.8,0
2026-04-26T13:00,73.5,0
2026-04-26T14:00,75.1,0
2026-04-26T15:00,75.8,0
2026-04-26T16:00,75.8,0
2026-04-26T17:00,74.9,0
2026-04-26T18:00,74.0,0
