time,temperature_2m,precipitation_probability
2026-04-22T00:00,48.1,1
2026-04-22T01:00,47.8,2
2026-04-22T02:00,47.5,2
2026-04-22T03:00,46.9,4
2026-04-22T04:00,46.4,2
2026-04-22T05:00,47.2,14
2026-04-22T06:00,46.8,7
2026-04-22T07:00,47.4,3
2026-04-22T08:00,50.0,1
2026-04-22T09:00,51.4,2
2026-04-22T10:00,53.4,17
2026-04-22T11:00,54.3,28
2026-04-22T12:00,54.0,39
2026-04-22T13:00,55.0,13
2026-04-22T14:00,56.3,1
2026-04-22T15:00,57.9,1
2026-04-22T16:00,59.9,0
2026-04-22T17:00,60.6,0
2026-04-22T18:00,60.0,0
2026-04-22T19:00,59.0,0
2026-04-22T20:00,56.1,0
2026-04-22T21:00,54.2,0
2026-04-22T22:00,53.0,3
2026-04-22T23:00,52.0,7
2026-04-23T00:00,50.9,7
2026-04-23T01:00,49.8,0
2026-04-23T02:00,48.6,0
2026-04-23T03:00,47.6,0
2026-04-23T04:00,47.1,0
2026-04-23T05:00,46.6,0
2026-04-23T06:00,47.6,0
2026-04-23T07:00,47.3,0
2026-04-23T08:00,49.6,0
2026-04-23T09:00,52.8,0
2026-04-23T10:00,56.9,0
2026-04-23T11:00,61.2,0
2026-04-23T12:00,66.6,0
2026-04-23T13:00,71.7,0
2026-04-23T14:00,74.9,0
2026-04-23T15:00,76.4,0
2026-04-23T16:00,77.6,1
2026-04-23T17:00,77.9,1
2026-04-23T18:00,77.5,2
2026-04-23T19:00,75.5,2
2026-04-23T20:00,70.4,2
2026-04-23T21:00,66.1,2
2026-04-23T22:00,63.2,2
2026-04-23T23:00,61.1,2
2026-04-24T00:00,59.5,2
2026-04-24T01:00,58.5,2
2026-04-24T02:00,56.6,1
2026-04-24T03:00,55.0,1
2026-04-24T04:00,53.6,2
2026-04-24T05:00,52.7,2
2026-04-24T06:00,51.2,3
2026-04-24T07:00,51.4,3
2026-04-24T08:00,55.3,3
2026-04-24T09:00,58.1,5
2026-04-24T10:00,62.0,5
2026-04-24T11:00,65.3,5
2026-04-24T12:00,65.5,5
2026-04-24T13:00,64.2,5
2026-04-24T14:00,61.1,5
2026-04-24T15:00,58.5,3
2026-04-24T16:00,59.7,3
2026-04-24T17:00,60.1,3
2026-04-24T18:00,62.3,3
2026-04-24T19:00,61.5,3
2026-04-24T20:00,58.8,3
2026-04-24T21:00,57.4,24
2026-04-24T22:00,56.1,24
2026-04-24T23:00,54.7,24
2026-04-25T00:00,54.3,24
