time,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum
2026-04-22,2,88.4,58.6,0.0
2026-04-23,3,83.5,53.8,0.0
2026-04-24,3,85.7,52.6,0.0
2026-04-25,3,82.3,69.0,0.0
2026-04-26,3,75.8,58.2,0.0
2026-04-27,3,82.3,62.2,0.0
2026-04-28,51,73.1,65.7,0.3
