time,temperature_2m_max,temperature_2m_min,precipitation_sum
2026-04-21,87.6,59.2,0.0
2026-04-22,84.2,56.5,0.0
2026-04-23,80.7,51.6,0.0
2026-04-24,82.9,53.7,0.0
2026-04-25,79.6,55.2,0.0
2026-04-26,74.5,49.6,0.0
2026-04-27,81.8,49.0,0.0
